external_id,title,bean_type,price,price_original,weight_g,in_stock,process_raw,roast_raw,variety_raw,origin_raw,region_raw,farm_raw,norm_process,norm_roast,norm_variety,norm_country
bargain-cafe-peach-and-berry-freshness-454g,一磅 蜜桃莓果小清新 淺中焙 咖啡 咖啡豆 100%阿拉比卡,單品（Single Origin）,400.0,400.0,454,True,,淺中焙,,,衣索比亞,,,淺中焙（Light-medium）,,衣索比亞（Ethiopia）
berry-duo-colombia-strawberry-honey-processed-strawberry-meets-lemon-light-roast-coffee,【強豆回歸】莓果雙奏｜哥倫比亞 草莓厭氧蜜處理&草莓遇見檸 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,400.0,450.0,200,True,高壓厭氧蜜處理,,卡斯提優,哥倫比亞,,瑪格麗特莊園,厭氧（Anaerobic）,,卡斯提優（Castillo）,哥倫比亞（Colombia）
brazil-brownie-orange-frost-coffee-beans,一磅 巴西 布朗尼橙霜 日曬 中焙 咖啡 咖啡豆 100%阿拉比卡,單品（Single Origin）,360.0,360.0,454,True,,,,,,,,,,
colombia-flower-geisha-coffee-beans,哥倫比亞 花境藝伎 水洗 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,500.0,550.0,200,True,Washed 水洗,淺焙,,Colombia,Nariño 娜玲瓏,Floral Station 花境處理站,水洗（Washed）,淺焙（Light）,,哥倫比亞（Colombia）
colombia-mango-summer-coffee-bean,哥倫比亞 金迪歐 百芒夏日 特殊發酵 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,500.0,500.0,200,True,熱帶水果酵母 水洗處理,淺焙,,哥倫比亞,薇拉 Huila,,水洗（Washed）,淺焙（Light）,,哥倫比亞（Colombia）
colombia-paradise-92-estate–grapefruit-peach-reverie-coffee-bean,哥倫比亞 天堂92莊園 柚映桃思 雙重酵素 淺中焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,450.0,500.0,200,True,雙重酵素 P：01,淺中焙,哥倫比亞種,哥倫比亞,考卡(Cauca),天堂莊園(ElParaiso),,淺中焙（Light-medium）,,哥倫比亞（Colombia）
colombia-paradise-estate-floral-lychee-summe-coffee-bean,【即將完售】哥倫比亞 天堂莊園 艷夏花荔 雙重厭氧 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,600.0,700.0,200,True,雙重厭氧,淺焙,Castillo,哥倫比亞,考卡省,天堂莊園,厭氧（Anaerobic）,淺焙（Light）,卡斯提優（Castillo）,哥倫比亞（Colombia）
colombia-pomelo-jin-xuan-tea-coffee-bean,【自選批次】哥倫比亞 美滿莊園 柚香金萱 淺中焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,500.0,600.0,200,True,雙重厭氧,淺中焙,粉紅波旁、鐵皮卡,哥倫比亞,蕙蘭 Hoila,美滿莊園：（Las Delicas）,厭氧（Anaerobic）,淺中焙（Light-medium）,,哥倫比亞（Colombia）
colombia-pomelo-jinxuan-double-anaerobic-pink-bourbon-light-medium-roast-200g,【自選批次】哥倫比亞 柚香金萱 雙重厭氧 淺中焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,500.0,600.0,200,True,雙重厭氧,淺中焙,粉紅波旁、鐵皮卡,哥倫比亞,蕙蘭 Hoila,Las Delicas,厭氧（Anaerobic）,淺中焙（Light-medium）,,哥倫比亞（Colombia）
colombia-sweet-realm-coffee-bean,【強豆推薦】 哥倫比亞 甜潤之境 雙重厭氧 淺中焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,550.0,600.0,200,True,雙重厭氧,淺中,卡度拉 caturra,哥倫比亞,Caldas,Villa Clara,厭氧（Anaerobic）,淺中焙（Light-medium）,卡度拉（Caturra）,哥倫比亞（Colombia）
costa-rica-lightly-sipping-summer-dream-enzyme-washed-lightly-roasted-coffee-coffee-bean-recommendations,哥斯大黎加 輕啜夏夢 酵素水洗 淺焙 (像極了貝多芬)  200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,325.0,350.0,200,True,酵素水洗,淺焙,卡度拉、卡度艾,哥斯大黎加,塔拉珠 Tarrazu,聖蘿蔓 San Roman,創新處理法（Experiment）,淺焙（Light）,"卡度拉（Caturra）, 卡度艾（Catuai）",哥斯大黎加（Costa Rica）
costa-rica-milazo-geisha-raisin-honey-process-coffee-coffee-beans,哥斯大黎加 米拉蘇藝伎 葡萄乾蜜處理（似酒桶處理莫札特） 淺中焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,400.0,450.0,200,True,葡萄乾蜜處理,淺中焙,藝伎 Geisha,哥斯大黎加,塔拉珠 Tarrazu,,蜜處理（Honey）,淺中焙（Light-medium）,藝伎（Geisha）,哥斯大黎加（Costa Rica）
costa-rica-peach-blossom-coffee-bean,【官網限定】哥斯大黎加 十里桃花 雙重厭氧蜜 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,600.0,700.0,200,True,雙重厭氧蜜,淺焙,Caturra,哥斯大黎加,塔拉珠,,厭氧（Anaerobic）,淺焙（Light）,卡度拉（Caturra）,哥斯大黎加（Costa Rica）
eastland-mountain-sea-fruit-isle-coffee-beans,東境 山海果嶼 淺焙 獨家精品配方 200克 咖啡 咖啡豆 精品咖啡,配方（Blend）,400.0,450.0,200,True,,淺焙,,,,,,淺焙（Light）,,
encounter-of-summer-coffee-bean,【強豆回歸】夏之遇 蜜桃邂檸 淺焙 200克 咖啡 咖啡豆 精品咖啡,單品（Single Origin）,450.0,450.0,200,True,,淺焙,,,,,,淺焙（Light）,,
